creative_id,filename,upload_date,dimensions,file_type,creative_type,review_status
1031666662,porn is here - stuck - anime,2025-11-13,300x250,gif,Static Banner,approved
1031666652,porn is here - anime - tied,2025-11-13,300x250,gif,Static Banner,approved
1031666642,porn is here - anime - tentacle,2025-11-13,300x250,gif,Static Banner,approved
1031666632,porn is here - anime - lesbian - monster girls,2025-11-13,300x250,gif,Static Banner,approved
1031568902,ezgif-5274f926384562,2025-11-13,300x250,gif,Static Banner,approved
1031568892,ezgif-55d668baf8d63c,2025-11-13,300x250,gif,Static Banner,approved
1031568882,this_is_an_ai_ellie,2025-11-13,300x250,gif,Static Banner,approved
1031568872,this_is_an_ai_bun,2025-11-13,300x250,gif,Static Banner,approved
1031568862,this_is_an_ai_amara,2025-11-13,300x250,gif,Static Banner,approved
1031568852,anime - fucked by monsters,2025-11-13,300x250,gif,Static Banner,approved
1031243462,64651-1738582959-0621590001738582959,2025-11-13,300x250,gif,Static Banner,approved
1031053141,ai_sluts,2025-11-13,300x250,gif,Static Banner,approved
1031041641,fuck_ai_sluts_combo_AI_Adult_Playground_Hentai_slower,2025-11-13,300x250,gif,Static Banner,approved
1031030271,https://ourdream.ai/chat/zoe/?ref=trafficjunky-hentai-{SiteName,2025-11-13,300x250,gif,Static Banner,approved
1031030141,https://ourdream.ai/,2025-11-13,300x100,gif,Static Banner,approved
1031029891,meet_the_girls_2_fantasy300x250dark,2025-11-13,300x250,gif,Static Banner,approved
1031029881,meet_the_girls_2_fantasy300x250,2025-11-13,300x250,gif,Static Banner,approved
1031029851,this_is_an_ai_zoe,2025-11-13,300x250,gif,Static Banner,approved
1031029841,this_is_an_ai_tentacle,2025-11-13,300x250,gif,Static Banner,approved
1031029831,meet_the_girls_2_fantasy,2025-11-13,300x250,gif,Static Banner,approved
1030960871,testpost2,2025-11-13,300x250,png,Static Banner,approved
1032216252,970 x 90 - SLOGAN,2025-11-13,970x90,,Video Banners,approved
1032216242,970 x 90 - REAL GIRLS,2025-11-13,970x90,,Video Banners,approved
1032216232,970 x 90 - FIRST AI PORN WANK,2025-11-13,970x90,,Video Banners,approved
1032216222,970 x 90 - CREATE YOUR CUM SLUT,2025-11-13,970x90,,Video Banners,approved
1032216212,970 x 90 - BORED OF PORN,2025-11-13,970x90,,Video Banners,approved
1032216202,970 x 90 - 1m Sluts,2025-11-13,970x90,,Video Banners,approved
1032216192,970 x 90 - AI PORN IS HERE,2025-11-13,970x90,,Video Banners,approved
1032216182,468 x 60 - CUSTOM PORN,2025-11-13,468x60,,Video Banners,approved
1032216162,468 x 60 - Slogan,2025-11-13,468x60,,Video Banners,approved
1032216152,468 x 60 - Real Girls,2025-11-13,468x60,,Video Banners,approved
1032216142,468 x 60 - FIRST AI PORN WANK,2025-11-13,468x60,,Video Banners,approved
1032216132,468 x 60 - 1m AI SLUTS,2025-11-13,468x60,,Video Banners,approved
1032216122,468 x 60 - AI PORN IS HERE,2025-11-13,468x60,,Video Banners,approved
1032216112,320 x 480 - ULTIMATE PLAYGROUND,2025-11-13,320x480,,Video Banners,approved
1032216102,320 x 480 - ULTIMATE PLAYGROUND 5,2025-11-13,320x480,,Video Banners,approved
1032216092,320 x 480 - ULTIMATE PLAYGROUND 4,2025-11-13,320x480,,Video Banners,approved
1032216082,320 x 480 - ULTIMATE PLAYGROUND 3,2025-11-13,320x480,,Video Banners,approved
1032216072,320 x 480 - ULTIMATE PLAYGROUND 2,2025-11-13,320x480,,Video Banners,approved
1032216062,320 x 480 - Slogan,2025-11-13,320x480,,Video Banners,approved
1032216052,320 x 480 - Slogan 5,2025-11-13,320x480,,Video Banners,approved
1032216042,320 x 480 - Slogan 4,2025-11-13,320x480,,Video Banners,approved
1032216032,320 x 480 - Slogan 3,2025-11-13,320x480,,Video Banners,approved
1032216022,320 x 480 - Slogan 2,2025-11-13,320x480,,Video Banners,approved
1032216012,320 x 480 - Real Girls,2025-11-13,320x480,,Video Banners,approved
1032216002,320 x 480 - REAL GIRLS 5,2025-11-13,320x480,,Video Banners,approved
1032215992,320 x 480 - REAL GIRLS 4,2025-11-13,320x480,,Video Banners,approved
1032215982,320 x 480 - Real Girls 3,2025-11-13,320x480,,Video Banners,approved
1032215972,320 x 480 - Real Girls 2,2025-11-13,320x480,,Video Banners,approved
1032215962,320 x 480 - FIRST AI PORN WANK,2025-11-13,320x480,,Video Banners,approved
1032215952,320 x 480 - FIRST AI PORN WANK 5,2025-11-13,320x480,,Video Banners,approved
1032215942,320 x 480 - FIRST AI PORN WANK 4,2025-11-13,320x480,,Video Banners,approved
1032215932,320 x 480 - FIRST AI PORN WANK 2,2025-11-13,320x480,,Video Banners,approved
1032215922,320 x 480 - CUSTOM AI PORN,2025-11-13,320x480,,Video Banners,approved
1032215912,320 x 480 - CUSTOM AI PORN 4,2025-11-13,320x480,,Video Banners,approved
1032215902,320 x 480 - CUSTOM AI PORN 3,2025-11-13,320x480,,Video Banners,approved
1032215892,320 x 480 - CUSTOM AI PORN 2,2025-11-13,320x480,,Video Banners,approved
1032215882,320 x 480 - BORED OF PORN,2025-11-13,320x480,,Video Banners,approved
1032215872,320 x 480 - BORED OF PORN 4,2025-11-13,320x480,,Video Banners,approved
1032215862,320 x 480 - BORED OF PORN 3,2025-11-13,320x480,,Video Banners,approved
1032215852,320 x 480 - BORED OF PORN 2,2025-11-13,320x480,,Video Banners,approved
1032215842,320 x 480 - AI PORN IS HERE,2025-11-13,320x480,,Video Banners,approved
1032215832,320 x 480 - AI PORN IS HERE 4,2025-11-13,320x480,,Video Banners,approved
1032215822,320 x 480 - AI PORN IS HERE 3,2025-11-13,320x480,,Video Banners,approved
1032215812,320 x 480 - AI PORN IS HERE 2,2025-11-13,320x480,,Video Banners,approved
1032215802,320 x 480 - 1m Sluts,2025-11-13,320x480,,Video Banners,approved
1032215792,320 x 480 - 1m Sluts 4,2025-11-13,320x480,,Video Banners,approved
1032215782,320 x 480 - 1m Sluts 3,2025-11-13,320x480,,Video Banners,approved
1032215772,320 x 480 - 1m sluts 2,2025-11-13,320x480,,Video Banners,approved
1032215762,300 x 100 - ULTIMATE ADULT AI PLAYGROUND,2025-11-13,300x100,,Video Banners,approved
1032215752,300 x 100 - ULTIMATE ADULT AI PLAYGROUND 4,2025-11-13,300x100,,Video Banners,approved
1032215742,300 x 100 - ULTIMATE ADULT AI PLAYGROUND 3,2025-11-13,300x100,,Video Banners,approved
1032215732,300 x 100 - ULTIMATE ADULT AI PLAYGROUND 2,2025-11-13,300x100,,Video Banners,approved
1032215722,300 x 100 - Slogan,2025-11-13,300x100,,Video Banners,approved
1032215712,300 x 100 - Slogan 2,2025-11-13,300x100,,Video Banners,approved
1032215702,300 x 100 - REAL GIRLS,2025-11-13,300x100,,Video Banners,approved
1032215692,300 x 100 - REAL GIRLS 3,2025-11-13,300x100,,Video Banners,approved
1032215682,300 x 100 - REAL GIRLS 2,2025-11-13,300x100,,Video Banners,approved
1032215672,300 x 100 - FIRST AI PORN WANK,2025-11-13,300x100,,Video Banners,approved
1032215662,300 x 100 - FIRST AI PORN WANK 4,2025-11-13,300x100,,Video Banners,approved
1032215652,300 x 100 - FIRST AI PORN WANK 3,2025-11-13,300x100,,Video Banners,approved
1032215642,300 x 100 - FIRST AI PORN WANK 2,2025-11-13,300x100,,Video Banners,approved
1032215632,300 x 100 - BORED OF PORN,2025-11-13,300x100,,Video Banners,approved
1032215622,300 x 100 - BORED OF PORN 4,2025-11-13,300x100,,Video Banners,approved
1032215612,300 x 100 - BORED OF PORN 3,2025-11-13,300x100,,Video Banners,approved
1032215602,300 x 100 - BORED OF PORN 2,2025-11-13,300x100,,Video Banners,approved
1032215592,300 x 100 - AI PORN IS HERE,2025-11-13,300x100,,Video Banners,approved
1032215582,300 x 100 - AI PORN IS HERE 3,2025-11-13,300x100,,Video Banners,approved
1032215572,300 x 100 - AI PORN IS HERE 2,2025-11-13,300x100,,Video Banners,approved
1032215562,300 x 100 - 1m Sluts,2025-11-13,300x100,,Video Banners,approved
1032215552,300 x 100 - 1m Sluts Slider,2025-11-13,300x100,,Video Banners,approved
1032215542,300 x 100 - 1m sluts 3,2025-11-13,300x100,,Video Banners,approved
1032215532,300 x 100 - 1m Sluts 4,2025-11-13,300x100,,Video Banners,approved
1032215522,300 x 100 - 1m Sluts 2,2025-11-13,300x100,,Video Banners,approved
1032215492,950 x 250 - 1m AI Sluts,2025-11-13,950x250,,Video Banners,approved
1032215482,950 x 250 - 1m AI Sluts 2,2025-11-13,950x250,,Video Banners,approved
1032215472,950 x 250 - 1m AI Sluts Slider,2025-11-13,950x250,,Video Banners,approved
1032215462,950 x 250 - ULTIMATE ADULT AI PLAYGROUND,2025-11-13,950x250,,Video Banners,approved
1032215452,950 x 250 - ULTIMATE ADULT AI PLAYGROUND 4,2025-11-13,950x250,,Video Banners,approved
1032215442,950 x 250 - ULTIMATE ADULT AI PLAYGROUND 3,2025-11-13,950x250,,Video Banners,approved
1032215432,950 x 250 - ULTIMATE ADULT AI PLAYGROUND 2,2025-11-13,950x250,,Video Banners,approved
1032215422,950 x 250 - Still Wanking To Real Girls,2025-11-13,950x250,,Video Banners,approved
1032215412,950 x 250 - Still wanking to real girls 3,2025-11-13,950x250,,Video Banners,approved
1032215402,950 x 250 - Still Wanking To Real Girls 2,2025-11-13,950x250,,Video Banners,approved
1032215392,950 x 250 - Slogan,2025-11-13,950x250,,Video Banners,approved
1032215382,950 x 250 - Slogan 3,2025-11-13,950x250,,Video Banners,approved
1032215372,950 x 250 - Slogan 2,2025-11-13,950x250,,Video Banners,approved
1032215362,950 x 250 - FIRST AI PORN WANK,2025-11-13,950x250,,Video Banners,approved
1032215352,950 x 250 - FIRST AI PORN WANK v2 2,2025-11-13,950x250,,Video Banners,approved
1032215342,950 x 250 - FIRST AI PORN WANK v2,2025-11-13,950x250,,Video Banners,approved
1032215332,950 x 250 - FIRST AI PORN WANK 4,2025-11-13,950x250,,Video Banners,approved
1032215322,950 x 250 - FIRST AI PORN WANK 3,2025-11-13,950x250,,Video Banners,approved
1032215312,950 x 250 - FIRST AI PORN WANK 2,2025-11-13,950x250,,Video Banners,approved
1032215302,950 x 250 - CUSTOM AI PORN,2025-11-13,950x250,,Video Banners,approved
1032215292,950 x 250 - CUSTOM AI PORN 4,2025-11-13,950x250,,Video Banners,approved
1032215282,950 x 250 - CUSTOM AI PORN 3,2025-11-13,950x250,,Video Banners,approved
1032215272,950 x 250 - CUSTOM AI PORN 2,2025-11-13,950x250,,Video Banners,approved
1032215262,950 x 250 - BORED OF PORN,2025-11-13,950x250,,Video Banners,approved
1032215252,950 x 250 - BORED OF PORN 4,2025-11-13,950x250,,Video Banners,approved
1032215242,950 x 250 - BORED OF PORN 3,2025-11-13,950x250,,Video Banners,approved
1032215232,950 x 250 - BORED OF PORN 2,2025-11-13,950x250,,Video Banners,approved
1032215222,950 x 250 - AI PORN IS HERE,2025-11-13,950x250,,Video Banners,approved
1032215212,950 x 250 - AI PORN IS HERE 5,2025-11-13,950x250,,Video Banners,approved
1032215202,950 x 250 - AI PORN IS HERE 4,2025-11-13,950x250,,Video Banners,approved
1032215192,950 x 250 - AI PORN IS HERE 3,2025-11-13,950x250,,Video Banners,approved
1032215182,950 x 250 - AI PORN IS HERE 2,2025-11-13,950x250,,Video Banners,approved
1032215152,950 x 250 - General,2025-11-13,950x250,,Video Banners,approved
1032170862,300x250 Banner - Simple,2025-11-13,300x250,,Video Banners,approved
1032170852,300x250 Banner - Simple Hentai,2025-11-13,300x250,,Video Banners,approved
1032170822,300x250 Banner New,2025-11-13,300x250,,Video Banners,approved
1031683452,ad_HENTAI_FUCK_AI_SLUTS_CLEAR_layout2x1_300x250_nowm_compressed,2025-11-13,300x250,,Video Banners,approved
1031683442,ad_HENTAI_FUCK_AI_SLUTS_CLEAR_layout1x1_300x250_nowm_compressed,2025-11-13,300x250,,Video Banners,approved
1031683432,ad_HENTAI_AI_PORN_IS_HERE_CLEAR_layout2x1_300x250_nowm_compressed,2025-11-13,300x250,,Video Banners,approved
1031683422,ad_HENTAI_AI_PORN_IS_HERE_CLEAR_layout1x1_300x250_nowm_compressed,2025-11-13,300x250,,Video Banners,approved
1031683412,ad_HENTAI_AI_PORN_IS_HERE_CLEAR_2_layout2x1_300x250_nowm_compressed,2025-11-13,300x250,,Video Banners,approved
1031683402,ad_HENTAI_AI_PORN_IS_HERE_CLEAR_2_layout1x1_300x250_nowm_compressed,2025-11-13,300x250,,Video Banners,approved
1031683392,ad_HENTAI_AI_PORN_IS_HERE_2_layout2x1_300x250_nowm_compressed,2025-11-13,300x250,,Video Banners,approved
1031683382,ad_HENTAI_AI_PORN_IS_HERE_2_layout1x1_300x250_nowm_compressed,2025-11-13,300x250,,Video Banners,approved
1031683372,ad_HENTAI_AI_PORN_IS_HERE_1_layout2x1_300x250_nowm_compressed,2025-11-13,300x250,,Video Banners,approved
1031683362,ad_HENTAI_AI_PORN_IS_HERE_1_layout1x1_300x250_nowm_compressed,2025-11-13,300x250,,Video Banners,approved
1031683352,ad_HENTAI_AI_PLAYGROUND_4_layout2x1_300x250_nowm_compressed,2025-11-13,300x250,,Video Banners,approved
1031683342,ad_HENTAI_AI_PLAYGROUND_4_layout1x1_300x250_nowm_compressed,2025-11-13,300x250,,Video Banners,approved
1031683322,ad_HENTAI_AI_PLAYGROUND_3_layout1x1_300x250_nowm_compressed,2025-11-13,300x250,,Video Banners,approved
1031683302,ad_HENTAI_AI_PLAYGROUND_2_layout1x1_300x250_nowm_compressed,2025-11-13,300x250,,Video Banners,approved
1031683282,ad_HENTAI_AI_PLAYGROUND_1_layout1x1_300x250_nowm_compressed,2025-11-13,300x250,,Video Banners,approved
1031683272,ad_FAVOURITES_FUCK_AI_SLUTS_CLEAR_layout2x1_300x250_nowm_compressed,2025-11-13,300x250,,Video Banners,approved
1031683262,ad_FAVOURITES_FUCK_AI_SLUTS_CLEAR_layout1x1_300x250_nowm_compressed,2025-11-13,300x250,,Video Banners,approved
1031683252,ad_FAVOURITES_AI_PORN_IS_HERE_CLEAR_layout2x1_300x250_nowm_compressed,2025-11-13,300x250,,Video Banners,approved
1031683242,ad_FAVOURITES_AI_PORN_IS_HERE_CLEAR_layout1x1_300x250_nowm_compressed,2025-11-13,300x250,,Video Banners,approved
1031683232,ad_FAVOURITES_AI_PORN_IS_HERE_CLEAR_2_layout2x1_300x250_nowm_compressed,2025-11-13,300x250,,Video Banners,approved
1031683222,ad_FAVOURITES_AI_PORN_IS_HERE_CLEAR_2_layout1x1_300x250_nowm_compressed,2025-11-13,300x250,,Video Banners,approved
1031683212,ad_FAVOURITES_AI_PORN_IS_HERE_2_layout2x1_300x250_nowm_compressed,2025-11-13,300x250,,Video Banners,approved
1031683202,ad_FAVOURITES_AI_PORN_IS_HERE_2_layout1x1_300x250_nowm_compressed,2025-11-13,300x250,,Video Banners,approved
1031683192,ad_FAVOURITES_AI_PORN_IS_HERE_1_layout2x1_300x250_nowm_compressed,2025-11-13,300x250,,Video Banners,approved
1031683182,ad_FAVOURITES_AI_PORN_IS_HERE_1_layout1x1_300x250_nowm_compressed,2025-11-13,300x250,,Video Banners,approved
1031683172,ad_FAVOURITES_AI_PLAYGROUND_4_layout2x1_300x250_nowm_compressed,2025-11-13,300x250,,Video Banners,approved
1031683162,ad_FAVOURITES_AI_PLAYGROUND_4_layout1x1_300x250_nowm_compressed,2025-11-13,300x250,,Video Banners,approved
1031683152,ad_FAVOURITES_AI_PLAYGROUND_3_layout1x1_300x250_nowm_compressed,2025-11-13,300x250,,Video Banners,approved
1031683142,ad_FAVOURITES_AI_PLAYGROUND_3_layout2x1_300x250_nowm_compressed,2025-11-13,300x250,,Video Banners,approved
1031683132,ad_FAVOURITES_AI_PLAYGROUND_2_layout2x1_300x250_nowm_compressed,2025-11-13,300x250,,Video Banners,approved
1031683122,ad_FAVOURITES_AI_PLAYGROUND_2_layout1x1_300x250_nowm_compressed,2025-11-13,300x250,,Video Banners,approved
1031683112,ad_FAVOURITES_AI_PLAYGROUND_1_layout2x1_300x250_nowm_compressed,2025-11-13,300x250,,Video Banners,approved
1031683102,ad_FAVOURITES_AI_PLAYGROUND_1_layout1x1_300x250_nowm_compressed,2025-11-13,300x250,,Video Banners,approved
1031683092,ad_FAVOURITES_AI_PLAYGROUND_1_layout1x1_300x250_nowm_compressed,2025-11-13,300x250,,Video Banners,approved
1031675482,ezgif-65d9b5295e264d,2025-11-13,300x250,,Video Banners,approved
1031675352,ad_HENTAI_AI_PLAYGROUND_4_layout1x1_300x250_nowm,2025-11-13,300x250,,Video Banners,approved
1031675342,ad_HENTAI_AI_PLAYGROUND_3_layout2x1_300x250_nowm,2025-11-13,300x250,,Video Banners,approved
1031675332,ad_HENTAI_AI_PLAYGROUND_3_layout1x1_300x250_nowm,2025-11-13,300x250,,Video Banners,approved
1031675322,ad_HENTAI_AI_PLAYGROUND_2_layout2x1_300x250_nowm,2025-11-13,300x250,,Video Banners,approved
1031675312,ad_HENTAI_AI_PLAYGROUND_2_layout1x1_300x250_nowm,2025-11-13,300x250,,Video Banners,approved
1031675302,ad_HENTAI_AI_PLAYGROUND_1_layout2x1_300x250_nowm,2025-11-13,300x250,,Video Banners,approved
1031675292,ad_HENTAI_AI_PLAYGROUND_1_layout1x1_300x250_nowm,2025-11-13,300x250,,Video Banners,approved
1031675282,ad_FAVOURITES_FUCK_AI_SLUTS_CLEAR_layout2x1_300x250_nowm,2025-11-13,300x250,,Video Banners,approved
1031675272,ad_FAVOURITES_FUCK_AI_SLUTS_CLEAR_layout1x1_300x250_nowm,2025-11-13,300x250,,Video Banners,approved
1031675262,ad_FAVOURITES_AI_PORN_IS_HERE_CLEAR_layout2x1_300x250_nowm,2025-11-13,300x250,,Video Banners,approved
1031675252,ad_FAVOURITES_AI_PORN_IS_HERE_CLEAR_layout1x1_300x250_nowm,2025-11-13,300x250,,Video Banners,approved
1031675242,ad_FAVOURITES_AI_PORN_IS_HERE_CLEAR_2_layout2x1_300x250_nowm,2025-11-13,300x250,,Video Banners,approved
1031675232,ad_FAVOURITES_AI_PORN_IS_HERE_CLEAR_2_layout1x1_300x250_nowm,2025-11-13,300x250,,Video Banners,approved
1031675222,ad_FAVOURITES_AI_PORN_IS_HERE_2_layout2x1_300x250_nowm,2025-11-13,300x250,,Video Banners,approved
1031675212,ad_FAVOURITES_AI_PORN_IS_HERE_2_layout1x1_300x250_nowm,2025-11-13,300x250,,Video Banners,approved
1031675202,ad_FAVOURITES_AI_PORN_IS_HERE_1_layout2x1_300x250_nowm,2025-11-13,300x250,,Video Banners,approved
1031675192,ad_FAVOURITES_AI_PORN_IS_HERE_1_layout1x1_300x250_nowm,2025-11-13,300x250,,Video Banners,approved
1031675182,ad_FAVOURITES_AI_PLAYGROUND_4_layout2x1_300x250_nowm,2025-11-13,300x250,,Video Banners,approved
1031675172,ad_FAVOURITES_AI_PLAYGROUND_4_layout1x1_300x250_nowm,2025-11-13,300x250,,Video Banners,approved
1031675162,ad_FAVOURITES_AI_PLAYGROUND_3_layout2x1_300x250_nowm,2025-11-13,300x250,,Video Banners,approved
1031675152,ad_FAVOURITES_AI_PLAYGROUND_3_layout1x1_300x250_nowm,2025-11-13,300x250,,Video Banners,approved
1031675142,ad_FAVOURITES_AI_PLAYGROUND_2_layout1x1_300x250_nowm,2025-11-13,300x250,,Video Banners,approved
1031675132,ad_FAVOURITES_AI_PLAYGROUND_1_layout2x1_300x250_nowm,2025-11-13,300x250,,Video Banners,approved
1031675122,ad_FAVOURITES_AI_PLAYGROUND_1_layout1x1_300x250_nowm,2025-11-13,300x250,,Video Banners,approved
1031666682,e2f76672a2cdc56d250b4f3c094fa1a1337ae8b8,2025-11-13,300x250,,Video Banners,approved
1031666672,2842a2b269b8cd56b4d438ee7180101062a79ecd,2025-11-13,300x250,,Video Banners,approved
1032490631,EN_OURDREAM_GENERAL_30sec_ID-FC41F896,2025-11-13,,,In-Stream Video,approved
